=== SHEET: Backend ===
1 | Case N | Scenario | Conditions | Expected result | Status | TC ref
60 | 59 | TC-BE-41 (Negative): Skip old contract — POD without activation or resigned from another contract | Validation on Create and Update - — Old contract has eligible POD (activation set, not Re-signed) - ✅ --- Apply test data 1–9; B has POD a (ok) and POD b (no activation); or B chain-resigned from another contract (diagram skip). - ❌ | B **skipped**; use another contract or TC-BE-40.  Test steps: Filter contracts for F POD set. | ⏳ | TC-BE-41
=== SHEET: Frontend ===
1 | Case N | Scenario | Conditions | Expected result | Status | TC ref
2 | 1 | User opens the re-sign flow on a contract that is inside the re-sign window — full happy path entry. | User has sales-agent / contract-edit permission - ✅ Contract is currently inside re-sign window - ✅ User clicks "Re-sign PODs" entry on contract detail - ✅ | Re-sign flow opens (wizard or modal per Figma). • POD list of the source contract version is rendered with selectable rows. • Proceed button is DISABLED until ≥1 POD is selected. • No backend POST is sent on opening the flow. | ✅ | 
3 | 2 | Contract is outside the re-sign window — the entry point must be visibly disabled, not allow opening the flow. | User has permission - ✅ Contract is currently inside re-sign window - ❌ | Re-sign entry is rendered DISABLED with helper message (i18n key resigning.outside_window — "Re-signing is not available outside the re-signing window"). • Click attempt does not open the flow. • No backend POST. | ✅ | 
4 | 3 | POD list includes some PODs that were already Re-signed in this version (AC6) — they must be visibly disabled. | Some PODs already marked Re-signed in this version - ✅ Re-sign flow opened by the user - ✅ | Re-signed PODs are rendered as DISABLED rows with tooltip / subtitle "Already re-signed in this version" (i18n key resigning.pod_already_resigned). • Eligible PODs remain selectable. • Bulk-select / select-all controls skip the disabled rows. | ✅ | 
5 | 4 | User clicks Proceed without selecting any POD — frontend must enforce client-side validation, not call backend. | Re-sign flow opened by the user - ✅ At least one POD selected - ❌ User clicks Proceed - ✅ | Validation error is shown (i18n key resigning.pods_required — "Please select at least one POD"). • NO POST is sent to backend. • Proceed remains disabled or rejects click; selection state is preserved. | ✅ | 
6 | 5 | Single eligible POD selected, no AC4 conflict, user clicks Proceed — should succeed end-to-end. | Eligible POD selected - ✅ No future-activation conflict (AC4 not triggered) - ✅ User clicks Proceed - ✅ | POST sent with selectedPodIds payload. • 200 OK from backend. • Success toast shown (i18n: "POD re-signed successfully"). • Contract detail view refreshes — moved POD shows Re-signed badge in old version, Active in new contract. • Loader cleared. | ✅ | 
7 | 6 | Backend returns SIGNING_DATE_OUT_OF_RESIGNING_WINDOW even though entry was rendered (e.g. window closed between page load and submit). | Backend response code = SIGNING_DATE_OUT_OF_RESIGNING_WINDOW - ✅ | Translated error displayed in flow (i18n key resigning.outside_window). • No raw stack trace exposed. • Selection is preserved so the agent can see what they tried. • Modal / wizard remains open. | ✅ | 
8 | 7 | Backend returns RESIGNING_PRODUCT_INCOMPATIBLE — frontend must surface a translated, user-friendly error. | Backend response code = RESIGNING_PRODUCT_INCOMPATIBLE - ✅ | Translated error shown (i18n key resigning.incompatible_product). • Modal/wizard stays open so user can review. • Selection preserved. | ✅ | 
9 | 8 | Backend returns FUTURE_ACTIVATION_CONFLICT structured payload — frontend must render the AC4 confirmation modal. | Selected POD has future activation in another contract - ✅ Backend returned FUTURE_ACTIVATION_CONFLICT payload - ✅ | AC4 modal renders with the AC4 copy: "Are you sure you want to remove future activation dates from other contract(s)?". • Confirm + Cancel buttons present. • Conflicting contract numbers + POD ids + date ranges from the payload are listed in the modal body. • Background flow is masked / non-interactive while modal is open. | ✅ | 
10 | 9 | AC4 modal is open and the user clicks Confirm — frontend should re-submit with confirmRemoveFutureActivation=true. | AC4 modal currently open - ✅ User clicks Confirm - ✅ | Frontend re-issues POST with same selection plus confirmRemoveFutureActivation = true. • Backend returns 200 OK. • Modal closes; success toast shown; contract detail refreshes (Re-signed badge appears). | ✅ | 
11 | 10 | AC4 modal is open and the user clicks Cancel — flow must stop without sending another POST. | AC4 modal currently open - ✅ User clicks Cancel (or Esc) - ✅ | Modal closes. • NO POST sent. • User returns to POD selection step with selection preserved. • Old + new contracts unchanged on backend. | ✅ | 
12 | 11 | After a successful re-sign, viewing the old contract version must show the Re-signed badge with the localized label. | Re-sign succeeded earlier in session - ✅ User navigates back to old contract version - ✅ | POD row shows "Re-signed" badge with localized label (i18n key resigning.pod_status.<code>). • Switching portal language re-renders the badge label without a page refresh. • Badge styling is consistent with other status badges in the design system. | ✅ | 
13 | 12 | User without sales-agent / contract-edit permission visits the contract — entry must be guarded. | User has sales-agent / contract-edit permission - ❌ | Re-sign entry is HIDDEN or rendered DISABLED (per design choice). • Direct route navigation to the re-sign flow URL is blocked by frontend route guard, redirected, or backend returns 403 which UI handles as a friendly error page. • No POST issued from UI. | ✅ | 
14 | 13 | User toggles portal language while inside the re-sign flow — all strings must change. | User switches portal language (e.g. EN ↔ BG) - ✅ | ALL visible strings change to the selected language: labels, button text, validation messages, error messages, toast messages, modal copy. • No English fallback or hardcoded text remains in the DOM (can be checked via DOM scan). • Re-sign state (selection) is preserved across the language switch. | ✅ | 
15 | 14 | POD list contains both eligible and ineligible PODs — they must be visually distinct so the agent knows what they can act on. | POD list contains a mix of eligible and ineligible PODs - ✅ | • Eligible rows are interactive: cursor pointer, checkbox enabled, hover highlight. • Ineligible rows are disabled: greyed out, cursor not-allowed, checkbox disabled. • Tooltip / subtitle on each ineligible row explains the specific reason (Re-signed / not active / wrong customer / etc.). | ✅ | 
16 | 15 | Backend returns 5xx (server / DB error) during re-sign submit — frontend must degrade gracefully. | Selection valid; user clicks Proceed - ✅ Backend returns 5xx - ✅ | Global error notification shown (i18n key global.server_error or specific re-sign key). • Loader cleared. • Selection preserved so user can retry. • No partial UI state (e.g. badge shown for a POD that did not actually re-sign). | ✅ | 
17 | 16 | Re-sign flow is implemented as a multi-step wizard — Back and Forward must preserve user state and validate. | Flow implemented as a multi-step wizard - ✅ User selected ≥1 POD on step 1 - ✅ | • Forward to step 2 succeeds with selection visible / summarised. • Back to step 1 returns user with selection PRESERVED. • Forward without any selection is blocked by client-side validation (same as TC-4). | ✅ | 
18 | 17 | Network connection drops mid-submit — frontend must clear loader and offer retry. | Network timeout / connection lost during submit - ✅ | • Loader cleared. • Translated network error displayed (i18n key global.network_error). • Retry option is offered (button or auto-retry guidance). • Selection preserved. • No double-submission once connection comes back. | ✅ | 
19 | 18 | Backend returns POD_NOT_ACTIVATABLE_IN_NEW_CONTRACT — error should be shown inline next to the offending POD row, not only as a global message. | Backend response code = POD_NOT_ACTIVATABLE_IN_NEW_CONTRACT - ✅ | • Inline error rendered under the affected POD row (i18n key resigning.pod_not_activatable_in_new_contract). • Other PODs unaffected; user can deselect the bad POD and retry. • Modal/wizard remains open. | ✅ | 
20 | 19 | Backend returns POD_HAS_GAP_IN_FUTURE_VERSION — frontend must surface a translated, actionable error. | Backend response code = POD_HAS_GAP_IN_FUTURE_VERSION - ✅ | • Translated error shown (i18n key resigning.pod_has_gap_in_future_version). • User remains in flow. • User can deselect the bad POD and retry. | ✅ | 
21 | 20 | After a successful re-sign, the UI must either refresh in place or navigate per Figma — never leave the user on a stale screen. | Re-sign POST returned 200 OK - ✅ | • Either: contract detail view refreshes in place (POD list + status badges current), OR • Navigates to the configured destination per Figma (e.g. new contract detail, contracts list). • In either case, no stale POD status remains on screen. | ✅ | 
22 | 21 | New contract product has manualActivation=true — entry point must be disabled before user wastes time selecting PODs. | New contract product has manualActivation = true - ✅ | • Re-sign entry rendered DISABLED (or hidden per design). • Tooltip / hint explains: "Product not suitable for re-signing due to manual activation option" (i18n key resigning.manual_activation_blocked). • Direct route navigation is also guarded. | ✅ | 
23 | 22 | User opens the flow, makes a selection, then clicks Cancel/Close — no backend impact, predictable re-open state. | Flow open with PODs selected - ✅ User clicks Cancel / Close (or Esc) - ✅ | • Flow closes. • NO POST sent. • On re-open, selection is in standard reset state (cleared by default — unless team opts into preserve-unsaved selection). • No leftover modals or backdrops. | ✅ | 
24 | 23 | Keyboard-only operation — Tab order, ARIA labels and the AC4 modal focus trap must all work. | User operates flow via keyboard only (Tab, Shift+Tab, Enter, Esc) - ✅ | • Tab order is logical (entry → POD list → checkboxes → Proceed → Cancel). • AC4 modal traps focus until Confirm/Cancel; Esc triggers Cancel. • All controls expose ARIA labels (checkbox names, button labels, modal aria-labelledby). • Visible focus rings on focused elements. • Screen-reader announcement on success/error. | ✅ | 
25 | 24 | User double-clicks Proceed (or rapid-clicks) — frontend must prevent duplicate submissions. | User double-clicks Proceed - ✅ | • Only ONE POST is sent (verified in network panel / Playwright HAR). • Button enters disabled / loading state immediately on first click. • Button re-enables on response (success or error). • No duplicate side effects on backend. | ✅ | 
26 | 25 | TC-FE-1 (Positive): Create and Update both trigger validation | Portal: sales agent logged in with contract permissions - ✅ Backend precondition from TC-BE-1 family satisfied - ✅ | Validation messages consistent on **create** and **update**; mirrors TC-BE-1. | ⏳ | TC-FE-1
27 | 26 | TC-FE-2 (Negative): Step 1 — sign blocked when status not Signed by both sides / Special processes | Portal: sales agent logged in with contract permissions - ✅ Backend precondition from TC-BE-2 family satisfied - ❌ | Sign/re-sign disabled or error; mirrors TC-BE-2. | ⏳ | TC-FE-2
28 | 27 | TC-FE-3 (Positive): Step 1 — Special processes allows sign flow | Portal: sales agent logged in with contract permissions - ✅ Backend precondition from TC-BE-3 family satisfied - ✅ | Sign flow available; mirrors TC-BE-3. | ⏳ | TC-FE-3
29 | 28 | TC-FE-4 (Negative): Step 2 — signing date outside all version validity ranges | Portal: sales agent logged in with contract permissions - ✅ Backend precondition from TC-BE-4 family satisfied - ❌ | Pop-up/error *respective version doesn't exist*; mirrors TC-BE-4. | ⏳ | TC-FE-4
30 | 29 | TC-FE-5 (Negative): Step 3 — product Re-sign unchecked | Portal: sales agent logged in with contract permissions - ✅ Backend precondition from TC-BE-5 family satisfied - ❌ | Error on save/sign; mirrors TC-BE-6. | ⏳ | TC-FE-5
31 | 30 | TC-FE-6 (Negative): Step 4 — Manual on 3rd tab | Portal: sales agent logged in with contract permissions - ✅ Backend precondition from TC-BE-6 family satisfied - ❌ | *resigning is manual* pop-up; mirrors TC-BE-8. | ⏳ | TC-FE-6
32 | 31 | TC-FE-7 (Negative): Step 5 — signing date outside old contract scope | Portal: sales agent logged in with contract permissions - ✅ Backend precondition from TC-BE-7 family satisfied - ❌ | Error; old contract not linked; mirrors TC-BE-9. | ⏳ | TC-FE-7
33 | 32 | TC-FE-8 (Negative): Step 6 — product incompatibility | Portal: sales agent logged in with contract permissions - ✅ Backend precondition from TC-BE-8 family satisfied - ❌ | *Re-signing unavailable due to product incompatibility*; mirrors TC-BE-11. | ⏳ | TC-FE-8
34 | 33 | TC-FE-9 (Negative): Step 7a — signing date outside early re-sign window | Portal: sales agent logged in with contract permissions - ✅ Backend precondition from TC-BE-9 family satisfied - ❌ | Validation before sign; mirrors TC-BE-13. | ⏳ | TC-FE-9
35 | 34 | TC-FE-10 (Positive): Step 7b — perpetuity contract always in re-sign source list | Portal: sales agent logged in with contract permissions - ✅ Backend precondition from TC-BE-10 family satisfied - ✅ | B-perp selectable regardless of term-end window; mirrors TC-BE-16. | ⏳ | TC-FE-10
36 | 35 | TC-FE-11 (Negative): Step 8 — no eligible POD | Portal: sales agent logged in with contract permissions - ✅ Backend precondition from TC-BE-11 family satisfied - ❌ | *Valid contract for signing isn't exist* or equivalent; mirrors TC-BE-17. | ⏳ | TC-FE-11
37 | 36 | TC-FE-12 (Positive): Step 9 — 3rd tab fields visible and savable | Portal: sales agent logged in with contract permissions - ✅ Backend precondition from TC-BE-12 family satisfied - ✅ | Both controls persist; mirrors TC-BE-19. | ⏳ | TC-FE-12
38 | 37 | TC-FE-13 (Positive): Step 10.1 — Wait No — preview activation (month after signing) | Portal: sales agent logged in with contract permissions - ✅ Backend precondition from TC-BE-13 family satisfied - ✅ | Preview shows **1 Apr 2026** for **S = 5 Mar 2026** (if preview exists); mirrors TC-BE-22. | ⏳ | TC-FE-13
39 | 38 | TC-FE-14 (Positive): Step 10.2 — Wait Yes — preview uses term end | Portal: sales agent logged in with contract permissions - ✅ Backend precondition from TC-BE-14 family satisfied - ✅ | Preview reflects month after **initial term end**; mirrors TC-BE-25. | ⏳ | TC-FE-14
40 | 39 | TC-FE-15 (Negative): Steps 11–12 — POD window / version errors | Portal: sales agent logged in with contract permissions - ✅ Backend precondition from TC-BE-15 family satisfied - ❌ | Error pop-up before success; mirrors TC-BE-27, TC-BE-29. | ⏳ | TC-FE-15
41 | 40 | TC-FE-16 (Positive): Step 13 — future activation warning Confirm / Cancel | Portal: sales agent logged in with contract permissions - ✅ Backend precondition from TC-BE-16 family satisfied - ✅ | Confirm → proceed (TC-BE-32); Cancel → abort (TC-BE-33). Message: *remove future activation dates from other contract(s)*. | ⏳ | TC-FE-16
42 | 41 | TC-FE-17 (Negative): Step 14 — gap in old POD periods | Portal: sales agent logged in with contract permissions - ✅ Backend precondition from TC-BE-17 family satisfied - ❌ | Error; mirrors TC-BE-34. | ⏳ | TC-FE-17
43 | 42 | TC-FE-18 (Negative): Step 15 — POD cannot cover all new versions | Portal: sales agent logged in with contract permissions - ✅ Backend precondition from TC-BE-18 family satisfied - ❌ | *POD can't be activated in new contract*; mirrors TC-BE-36. | ⏳ | TC-FE-18
44 | 43 | TC-FE-19 (Positive): Successful UI — POD-level selection, signed from/to, Re-signed (steps 16–18) | Portal: sales agent logged in with contract permissions - ✅ Backend precondition from TC-BE-19 family satisfied - ✅ | Matches TC-BE-37; Confluence AC #1 (POD-level). | ⏳ | TC-FE-19
45 | 44 | TC-FE-20 (Positive): Successful UI — Wait Yes path | Portal: sales agent logged in with contract permissions - ✅ Backend precondition from TC-BE-20 family satisfied - ✅ | Same as TC-FE-19 with **10.2** dates; mirrors TC-BE-38. | ⏳ | TC-FE-20
46 | 45 | TC-FE-21 (Negative): Unsuccessful — no signed from/to or Re-signed after error | Portal: sales agent logged in with contract permissions - ✅ Backend precondition from TC-BE-21 family satisfied - ❌ | Error shown; **no** Re-signed marker; mirrors TC-BE-39. | ⏳ | TC-FE-21
47 | 46 | TC-FE-22 (Negative): Confluence AC #6 — cannot re-sign same POD same version in UI | Portal: sales agent logged in with contract permissions - ✅ Backend precondition from TC-BE-22 family satisfied - ❌ | Control disabled or error; mirrors TC-BE-42. | ⏳ | TC-FE-22
